auto_scale_mul,canvas_height_px,canvas_width_px,final_scale_mul,group,hitbox_h_px,hitbox_id,hitbox_w_px,hitbox_x_px,hitbox_y_px,preserve_aspect,render_bitmap_h_px,render_bitmap_w_px,render_top_left_x_px,render_top_left_y_px,render_visible_h_px,render_visible_w_px,scale_override_mul,source_bitmap_h_px,source_bitmap_w_px,source_content_h_px,source_content_w_px,source_content_x_px,source_content_y_px,source_file,source_path,status,variant
0.47382,5276,3744,0.47382,control,120.0,FUEL_SOV_L,120.0,1494.02,2625.15,,124,114,1495.7,2621.67,108,110,1.0,261,240,228,233,7,20,FUEL_SOV_L.png,core-res/src/main/assets/cockpit/assets/controls/g950/FUEL_SOV_L.png,compiled,g950
0.46,5276,3744,0.46,control,120.0,FUEL_SOV_R,120.0,2097.13,2624.37,,120,110,2102.13,2622.17,106,110,1.0,261,240,230,240,0,20,FUEL_SOV_R.png,core-res/src/main/assets/cockpit/assets/controls/g950/FUEL_SOV_R.png,compiled,g950
0.943005,5276,3744,0.943005,control,96.35,MASTER_CAUTION_LEFT,127.94,924.96,2761.42,,89,121,930.93,2765.09,89,116,1.0,94,128,94,123,0,0,MASTER_CAUTION_LEFT.png,core-res/src/main/assets/cockpit/assets/controls/g950/MASTER_CAUTION_LEFT.png,compiled,g950
0.864854,5276,3744,0.864854,control,88.37,MASTER_CAUTION_RIGHT,122.45,2934.57,2760.16,,81,111,2942.79,2763.84,81,106,1.0,94,128,94,123,0,0,MASTER_CAUTION_RIGHT.png,core-res/src/main/assets/cockpit/assets/controls/g950/MASTER_CAUTION_RIGHT.png,compiled,g950
0.907897,5276,3744,0.907897,control,95.36,MASTER_WARNING_LEFT,115.46,807.52,2762.11,,90,106,812.25,2763.56,87,106,1.0,99,117,96,117,0,3,MASTER_WARNING_LEFT.png,core-res/src/main/assets/cockpit/assets/controls/g950/MASTER_WARNING_LEFT.png,compiled,g950
0.846836,5276,3744,0.846836,control,88.37,MASTER_WARNING_RIGHT,122.45,2816.11,2757.99,,84,99,2827.84,2759.13,81,99,1.0,99,117,96,117,0,3,MASTER_WARNING_RIGHT.png,core-res/src/main/assets/cockpit/assets/controls/g950/MASTER_WARNING_RIGHT.png,compiled,g950
,,,,control,,FMS_SYSTEM,,,,,,,,,,,,,,,,,,,,no_source_match,g950
,5276,3744,,visual,948.27,DOCUMENTS_EFB,789.03,2954.97,4327.73,True,948.27,649.76,,,,,,1744,1195,,,,,DOCUMENTS_EFB.png,core-res/src/main/assets/cockpit/assets/instruments/g950/DOCUMENTS_EFB.png,compiled,g950
,5276,3744,,visual,266.7,FMS_SYSTEM,457.56,1670.09,3753.38,True,266.7,424.73,,,,,,643,1024,,,,,FMS_SYSTEM.png,core-res/src/main/assets/cockpit/assets/instruments/g950/FMS_SYSTEM.png,compiled,g950
,5276,3744,,visual,366.91,PFD_LEFT,588.23,581.6,2897.11,True,361.09,588.23,,,,,,372,606,,,,,PFD_LEFT.png,core-res/src/main/assets/cockpit/assets/instruments/g950/PFD_LEFT.png,compiled,g950
,5276,3744,,visual,365.8,PFD_RIGHT,601.41,2573.65,2890.66,True,365.8,598.49,,,,,,371,607,,,,,PFD_RIGHT.png,core-res/src/main/assets/cockpit/assets/instruments/g950/PFD_RIGHT.png,compiled,g950
,5276,3744,,visual,417.91,MFD_CENTRE_DISPLAY,568.06,1754.14,2844.45,False,417.91,568.06,,,,,,819,1219,,,,,MFD_CENTRE_DISPLAY.png,core-res/src/main/assets/cockpit/assets/instruments/g950/MFD_CENTRE_DISPLAY.png,compiled,g950
